ADIRA,5,6
DIRA,20,103
IRA,204,963
FRATAMA,2,0
TAMA,1290,111
AMA,1556,238
NADIF,18,2
ADIF,24,2
DIF,25,2
HOSI,13,1
OSI,175,52
KATRUNADA,1,0
NADA,23,93
ADA,140,171
HAFSHARA,0,1
HARA,19,56
ARA,552,805
HASIKA,0,1
SIKA,6,36
IKA,953,2068
HIDAIAT,522,32
AIAT,610,41
IAT,649,55
ADNAN,41,2
DNAN,41,2
NAN,204,49
SAHRUL,236,3
HRUL,365,6
RUL,1200,758
SIROD,3,0
IROD,3,0
ROD,7,0
SHANTI,0,10
ANTI,67,3691
NTI,71,3792
AULIA,96,792
ULIA,169,1187
LIA,243,3950
AGUSTINAPINGKAN,0,1
GKAN,2,7
KAN,47,18
SINTA,1,204
INTA,15,458
NTA,180,517
SILVIA,2,146
LVIA,4,221
VIA,22,803
SINTIA,0,89
NTIA,10,246
TIA,1419,1005
IULIA,4,167
NENGSIH,1,33
GSIH,15,907
SIH,58,1324
SLVI,0,5
LVI,12,171
SNDI,0,3
NDI,2471,666
STEVEN,19,1
EVEN,21,1
VEN,29,3
TAUFIK,246,7
UFIK,251,7
FIK,407,28
ISMAIL,100,1
MAIL,102,1
AIL,130,16
TITA,2,51
ITA,212,3489
NURWAHIUNI,0,4
IUNI,14,383
UNI,56,437
ASISA,0,13
SISA,0,17
ISA,247,2440
RESKITA,0,1
KITA,8,38
FRIDA,0,20
RIDA,11,226
IDA,97,1007
HARIANTO,114,5
ANTO,3455,154
NTO,3492,155
LABIB,15,0
ABIB,98,0
BIB,100,0
BUNNABIH,1,0
ABIH,4,0
BIH,11,2
IUSTIKA,0,14
TIKA,54,870
APRIL,7,14
PRIL,8,15
RIL,340,102
AHMAD,2490,32
HMAD,2667,35
MAD,10516,82
HOSIN,8,0
OSIN,19,1
SIN,210,25
DILA,43,402
ILA,154,2495
SEPVI,0,1
EPVI,0,1
PVI,0,1
MURTIKAWATI,0,1
WATI,35,2971
ATI,189,4485
WIRO,8,0
IRO,27,21
PRABOWO,94,5
BOWO,370,25
OWO,391,27
ANDI,1585,126
SAVERI,1,0
VERI,21,2
ERI,488,126
EGI,123,18
SONJAIA,11,0
JAIA,543,110
AIA,663,517
ERLANDA,2,0
ANDA,636,896
NDA,732,2073
IUSUF,374,9
USUF,378,11
SUF,380,11
UPIT,0,4
PIT,17,54
PITRIANI,0,27
IANI,155,3922
